Distance,Count0,Count1,Count2,Count3,Count4,Count5,Count6,Count7,Count8
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50.0,3.0,4.0,4.0,4.0,4.0,2.0,10.0,4.5,1.0
100.0,7.0,7.0,6.0,7.0,10.0,3.0,9.0,8.0,14.0
150.0,9.0,11.0,7.0,2.0,8.0,5.0,6.0,12.0,12.0
200.0,4.0,6.0,8.0,12.0,9.0,9.0,6.0,18.0,8.0
250.0,1.0,3.0,5.0,5.0,5.0,4.0,1.0,13.0,6.0
300.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,5.0,1.0
350.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0
400.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0
450.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0
500.0,2.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0
550.0,2.0,4.0,1.0,4.0,2.0,4.0,3.0,1.0,2.0
600.0,4.0,4.0,1.0,5.0,3.0,4.0,3.0,1.0,4.0
650.0,7.0,4.0,1.0,3.0,3.0,5.0,4.0,3.0,6.0
700.0,6.0,3.0,2.0,4.0,3.0,7.0,10.0,3.0,14.0
750.0,10.0,9.0,2.0,8.0,4.0,8.0,12.0,4.0,4.0
800.0,0.0,17.0,2.0,10.0,4.0,10.0,1.0,4.0,0.0
850.0,0.0,3.0,2.0,4.0,9.0,11.0,0.0,4.0,0.0
900.0,0.0,0.0,3.0,0.0,19.0,1.0,0.0,5.0,0.0
950.0,0.0,0.0,6.0,0.0,16.0,0.0,0.0,7.0,0.0
1000.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,10.0,0.0
1050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
